Compound Name,SMILES Code,Smiles (PubChem)
Water,O,O
Diethylamine,CCNCC,CCNCC
Ethylpropylamine,CCNCCC,CCCNCC
"N,N-Diethylmethylamine",CCN(C)CC,CCN(C)CC
Methylbutylamine,CCCCN(C)C,CCCCNC
1-Methylbutylamine,CCC(C)CN,CCCC(C)N
1-Ethylpropylamine,CC(CC)CN,CCC(CC)N
Diallylamine,C=CCNCC=C,C=CCNCC=C
N-Ethylmethylallylamine,CCN(C)CC=C,CCNCC(=C)C
Hexamethyleneimine,C1CCNCCC1,C1CCCNCC1
1-Methylpiperidine,CN1CCCCC1,CN1CCCCC1
2-Methylpiperidine,CC1CCCCN1,CC1CCCCN1
3-Methylpiperidine,CC1CCCNCC1,CC1CCCNC1
4-Methylpiperidine,CC1CCNCCC1,CC1CCNCC1
Butyldimethylamine,CCCCN(C)C,CCCCN(C)C
tert-Butyldimethylamine,CC(C)(C)N(C)C,CC(C)(C)N(C)C
Ethylbutylamine,CCCCNCC,CCCCNCC
sec-Butylethylamine,CC(C)CNCC,CCCNC(C)CC
tert-Butylethylamine,CC(C)(C)NCC,CCNC(C)(C)C
Diisopropylamine,CC(C)NC(C)C,CC(C)NC(C)C
Dipropylamine,CCCNCCC,CCCNCCC
Hexylamine,CCCCCCN,CCCCCCN
Triethylamine,CCN(CC)CC,CCN(CC)CC
"2,6-Dimethylpiperidine",CC1CCCC(N1)C,CC1CCCC(N1)C
"3,3-Dimethylpiperidine",CC1(CCCNCC1)C,CC1(CCCNC1)C
"3,5-Dimethylpiperidine (3,5-Lupetidine)",CC1CC(C)CNCC1,CC1CC(CNC1)C
N-Methylcyclohexylamine,CNC1CCCCC1,CNC1CCCCC1
2-Methylcyclohexylamine,CC1CCCCC1N,CC1CCCCC1N
Heptylamine,CCCCCCCN,CCCCCCCN
1-Methylhexylamine,CCCCCC(C)N,CCCCCC(C)N
1-Ethylpiperidine,CCN1CCCCC1,CCN1CCCCC1
2-Ethylpiperidine,CCC1CCCCN1,CCC1CCCCN1
